USER_ID;SEX;AGE;GROUP_NO
3953630;F;0;37008294
3953630;F;0;22791518
3953630;F;0;37268163
3953630;F;0;112510789
3953630;F;0;133716657
3953630;F;0;108175159
3953630;F;0;59085032
3953630;F;0;32231484
3953630;F;0;127632620
3953630;F;0;101555177
3953630;F;0;35531415
3953630;F;0;33248753
3953630;F;0;117314292
3953630;F;0;57817256
3953630;F;0;23279823
3953630;F;0;35217149
3953630;F;0;78652739
3953630;F;0;41002749
3953630;F;0;20249656
3953630;F;0;133716711
3953630;F;0;50751559
3953630;F;0;63657636
3953630;F;0;120231016
3953630;F;0;74534837
3953630;F;0;55721364
3953630;F;0;80958991
3953630;F;0;91504156
3953630;F;0;23742946
3953630;F;0;93542556
3953630;F;0;62356431
3953630;F;0;79589015
3953630;F;0;128602653
3953630;F;0;30490486
3953630;F;0;50914802
3953630;F;0;120899101
3953630;F;0;131092175
3953630;F;0;28627911
3953630;F;0;56131641
3953630;F;0;44065274
3953630;F;0;34448489
3953630;F;0;88962542
3953630;F;0;39499227
3953630;F;0;37684434
3953630;F;0;49684148
3953630;F;0;127925061
3953630;F;0;25882042
3953630;F;0;132503373
3953630;F;0;37473310
3953630;F;0;79644253
3953630;F;0;39645210
3953630;F;0;47079771
3953630;F;0;37169648
3953630;F;0;63092831
3953630;F;0;79525017
3953630;F;0;135329064
3953630;F;0;39345508
3953630;F;0;42192395
3953630;F;0;35232329
3953630;F;0;61716487
3953630;F;0;54322177
3953630;F;0;27710882
3953630;F;0;41403156
3953630;F;0;51080434
3953630;F;0;5922505
3953630;F;0;31786369
3953630;F;0;24230705
3953630;F;0;32277420
3953630;F;0;36516005
3953630;F;0;50579622
3953630;F;0;35113021
3953630;F;0;36243788
3953630;F;0;66714252
3953630;F;0;42370413
3953630;F;0;34086497
3953630;F;0;88381901
3953630;F;0;43688579
3953630;F;0;33118494
3953630;F;0;25164271
3953630;F;0;32202562
3953630;F;0;36105203
3953630;F;0;85462593
3953630;F;0;52293839
3953630;F;0;114630173
3953630;F;0;10542714
3953630;F;0;39009769
3953630;F;0;34889014
3953630;F;0;91713125
3953630;F;0;58954988
3953630;F;0;22959012
3953630;F;0;61849823
3953630;F;0;44497796
3953630;F;0;33382046
3953630;F;0;39212974
3953630;F;0;36168681
3953630;F;0;49757948
3953630;F;0;46115257
3953630;F;0;24089576
3953630;F;0;47610608
3953630;F;0;56824112
3953630;F;0;120322552
3953630;F;0;42712457
3953630;F;0;89493
3953630;F;0;36338110
3953630;F;0;41265638
3953630;F;0;64762359
3953630;F;0;31364045
3953630;F;0;51071202
3953630;F;0;126707724
3953630;F;0;60971453
3953630;F;0;47472023
3953630;F;0;33006648
3953630;F;0;48675425
3953630;F;0;51024179
3953630;F;0;25649071
3953630;F;0;57287697
3953630;F;0;39930420
3953630;F;0;61796383
3953630;F;0;35176604
3953630;F;0;31549978
3953630;F;0;36792562
3953630;F;0;53041883
3953630;F;0;961618
3953630;F;0;43083474
3953630;F;0;52334003
3953630;F;0;113670685
3953630;F;0;47292620
3953630;F;0;40738724
3953630;F;0;121993992
3953630;F;0;38900737
3953630;F;0;9622091
3953630;F;0;16054118
3953630;F;0;49235752
3953630;F;0;75104505
3953630;F;0;82431646
3953630;F;0;68579804
3953630;F;0;105596315
3953630;F;0;43215063
3953630;F;0;117716068
3953630;F;0;42082503
3953630;F;0;59901975
3953630;F;0;56423719
3953630;F;0;55363991
3953630;F;0;88513250
3953630;F;0;97758272
3953630;F;0;33722858
3953630;F;0;75419961
3953630;F;0;70331342
3953630;F;0;61897845
3953630;F;0;105028742
3953630;F;0;5425797
3953630;F;0;1392957
3953630;F;0;47419097
3953630;F;0;44057096
3953630;F;0;120428878
3953630;F;0;35915568
3953630;F;0;63971301
3953630;F;0;62362765
3953630;F;0;73578636
3953630;F;0;64980863
3953630;F;0;28185646
3953630;F;0;79995162
3953630;F;0;111765336
3953630;F;0;32732422
3953630;F;0;55554161
3953630;F;0;32380983
3953630;F;0;56269511
3953630;F;0;46263775
3953630;F;0;39800422
3953630;F;0;83584071
3953630;F;0;43318210
3953630;F;0;59840447
3953630;F;0;124308882
3953630;F;0;63034695
3953630;F;0;123592224
3953630;F;0;126864423
